fio version 2 iolog
/dev/sdb add
/dev/sdb open
/dev/sdb read 8491368448 1048576
/dev/sdb read 6293553152 1048576
/dev/sdb read 636485632 1048576
/dev/sdb read 10255073280 1048576
/dev/sdb read 9225371648 1048576
/dev/sdb read 6245318656 1048576
/dev/sdb read 247463936 1048576
/dev/sdb read 8106541056 1048576
/dev/sdb read 5652873216 1048576
/dev/sdb read 3908042752 1048576
/dev/sdb read 3884974080 1048576
/dev/sdb read 7177502720 1048576
/dev/sdb read 5705302016 1048576
/dev/sdb read 7066353664 1048576
/dev/sdb read 4824498176 1048576
/dev/sdb read 2117074944 1048576
/dev/sdb read 249561088 1048576
/dev/sdb read 8647606272 1048576
/dev/sdb read 2664431616 1048576
/dev/sdb read 1688207360 1048576
/dev/sdb read 2831155200 1048576
/dev/sdb read 8588886016 1048576
/dev/sdb read 8675917824 1048576
/dev/sdb read 6494879744 1048576
/dev/sdb read 2765094912 1048576
/dev/sdb read 287309824 1048576
/dev/sdb read 6982467584 1048576
/dev/sdb read 1321205760 1048576
/dev/sdb read 3839885312 1048576
/dev/sdb read 3931111424 1048576
/dev/sdb read 4121952256 1048576
/dev/sdb read 4233101312 1048576
/dev/sdb read 2622488576 1048576
/dev/sdb read 3867148288 1048576
/dev/sdb read 10027532288 1048576
/dev/sdb read 6004146176 1048576
/dev/sdb read 4104126464 1048576
/dev/sdb read 4087349248 1048576
/dev/sdb read 9383706624 1048576
/dev/sdb read 10151264256 1048576
/dev/sdb read 9385803776 1048576
/dev/sdb read 7784628224 1048576
/dev/sdb read 10263461888 1048576
/dev/sdb read 2018508800 1048576
/dev/sdb read 4670357504 1048576
/dev/sdb read 10043260928 1048576
/dev/sdb read 5232394240 1048576
/dev/sdb read 4203741184 1048576
/dev/sdb read 3832545280 1048576
/dev/sdb read 9091153920 1048576
/dev/sdb read 8509194240 1048576
/dev/sdb read 2224029696 1048576
/dev/sdb read 10111418368 1048576
/dev/sdb read 4866441216 1048576
/dev/sdb read 6453985280 1048576
/dev/sdb read 7429160960 1048576
/dev/sdb read 3314548736 1048576
/dev/sdb read 9751756800 1048576
/dev/sdb read 8918138880 1048576
/dev/sdb read 2016411648 1048576
/dev/sdb read 569376768 1048576
/dev/sdb read 6312427520 1048576
/dev/sdb read 10317987840 1048576
/dev/sdb read 10453254144 1048576
